rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction
336.19,286720,-36.714000000000006,671,140,427,8.437939643859863,0.0003,0.2,0.7732375860214233,6290,-0.013686334605154116,0.014587024,33.09181144833565,-0.9781628128141164,0.17314453125
338.87,288768,-38.330999999999996,676,141,426,39.50496292114258,0.0003,0.2,0.5839372873306274,6300,-0.011464273276214954,0.008105315,122.30406747460366,-0.891606168448925,0.0697265625
344.72,290816,-41.518,681,142,426,12.679830551147461,0.0003,0.2,0.7911007404327393,6310,-0.011633438109129202,0.011429403,37.97746321558952,-0.9960730591788888,0.13095703125
348.74,292864,-42.137,686,143,426,20.157222747802734,0.0003,0.2,0.7470648288726807,6320,-0.020113489843788558,0.016497828,60.22588994204998,-0.9461527647450566,0.166357421875
349.71,294912,-42.261,692,144,426,26.968303680419922,0.0003,0.2,0.6879135966300964,6330,-0.014551318054145668,0.012954222,68.85056473612785,-0.9885925343260169,0.1310546875
346.22,296960,-38.373,697,145,425,42.869834899902344,0.0003,0.2,0.7051336765289307,6340,-0.01484036564361304,0.018457154,69.76389807462692,-1.0440420616418122,0.212841796875
346.61,299008,-39.003,702,146,425,94.34918212890625,0.0003,0.2,0.6990487575531006,6350,-0.012285701381915714,0.01330526,83.12460504174233,-0.9282820681110024,0.147900390625
346.21,301056,-40.493,707,147,425,16.140846252441406,0.0003,0.2,0.6440699100494385,6360,-0.020599949231836945,0.032147504,62.48204055428505,-1.015993037633598,0.2666015625
343.9,303104,-39.278,713,148,424,7.796945571899414,0.0003,0.2,0.726099967956543,6370,-0.015387218854448293,0.022174723,38.84377874433994,-1.0132535038515926,0.265185546875
347.99,305152,-43.04999999999999,719,149,424,10.613910675048828,0.0003,0.2,0.7078450322151184,6380,-0.017407454675412735,0.019000914,72.73208653032779,-0.9786311253905297,0.245654296875
345.31,307200,-42.523999999999994,724,150,424,1.5469608306884766,0.0003,0.2,0.9350132942199707,6390,-0.010530464605108137,0.03445978,6.772691867500543,-1.0032475193962456,0.3341796875
350.02,309248,-44.74099999999999,729,151,423,15.474268913269043,0.0003,0.2,0.7579942941665649,6400,-0.01447256085666595,0.015592873,55.35921364873648,-0.9865409011021257,0.1669921875
348.73,311296,-44.77000000000001,735,152,423,20.837533950805664,0.0003,0.2,0.6105860471725464,6410,-0.016858561485423706,0.012061747,71.66098826229572,-0.9679580798372627,0.14375
349.51,313344,-45.528999999999996,740,153,423,8.377457618713379,0.0003,0.2,0.8198891878128052,6420,-0.014693524687027093,0.024758697,39.069211532175544,-0.9346457773819565,0.182275390625
351.72,315392,-46.871999999999986,746,154,422,47.96205139160156,0.0003,0.2,0.6813918948173523,6430,-0.017499959853012115,0.019498542,94.45227720737458,-0.9745361693203449,0.1798828125
344.76,317440,-43.545,752,155,421,2.561293125152588,0.0003,0.2,0.8074669241905212,6440,-0.015632106103294064,0.018452872,47.14927214458585,-0.9878364661708474,0.22080078125
343.39,319488,-42.782999999999994,759,156,420,3.5500030517578125,0.0003,0.2,0.7184004187583923,6450,-0.015631517220754176,0.0096680615,108.4413520410657,-0.90542246196419,0.12255859375
