time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range
520192,254,44.17,17.517000000000003,189,2740,-0.8058338381350041,2530,20.12795837968588,0.797511637210846,0.17919921875,0.01757371,5.71952486038208,-0.01892017072386807,0.0003,0.2
522240,255,38.75,20.442999999999998,189,2753,-0.664212865754962,2540,13.497832360118627,0.716614842414856,0.167822265625,0.017248275,3.6435532569885254,-0.018422355288930704,0.0003,0.2
524288,256,43.72,17.678999999999995,189,2766,-0.6658997543156147,2550,11.243795028328895,0.6861393451690674,0.170458984375,0.020227412,2.7555580139160156,-0.01772728997602826,0.0003,0.2
526336,257,50.45,14.233000000000002,189,2780,-0.7736433170735836,2560,12.434529411792756,0.726784348487854,0.163525390625,0.016560646,2.419421672821045,-0.01592431104654679,0.0003,0.2
528384,258,40.87,19.459,189,2793,-0.7713919805362821,2570,15.340299609303475,0.7023961544036865,0.1326171875,0.012904821,3.809856414794922,-0.017363506503170357,0.0003,0.2
530432,259,33.26,23.298000000000002,189,2806,-0.5548324198462069,2580,8.778940780460834,0.4609692692756653,0.14658203125,0.022158068,2.6318318843841553,-0.02172247055277694,0.0003,0.2
532480,260,40.68,19.289,188,2819,-0.5829369843937456,2590,4.880050693824887,0.6850607395172119,0.15869140625,0.01913343,1.3074792623519897,-0.02172497059800662,0.0003,0.2
534528,261,44.89,15.839,188,2833,-0.7527970395982265,2600,7.9810959354043005,0.7030245065689087,0.166796875,0.018152602,3.5741052627563477,-0.01637358437437797,0.0003,0.2
536576,262,35.42,21.400999999999996,188,2846,-0.7321466160938144,2610,7.226245417445898,0.5958079099655151,0.169873046875,0.028003804,4.24780797958374,-0.014372969898977317,0.0003,0.2
538624,263,41.12,18.881,188,2860,-0.5263637128286064,2620,7.242399626225233,0.7084406018257141,0.13291015625,0.014621319,2.4340739250183105,-0.017706941011419987,0.0003,0.2
540672,264,43.77,17.521,188,2873,-0.7684155032038689,2630,12.07423780784011,0.8344056010246277,0.1587890625,0.013674556,5.975188732147217,-0.018624301729141736,0.0003,0.2
