time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss
1158,21.001000000000005,597,41.26,692224,338,3370,0.1291015625,0.7849603891372681,0.2,0.01781185,0.0003,7.696578502655029,-0.5681297427974641,-0.014577569995890372,13.040635658055544
1161,20.912,597,41.85,694272,339,3380,0.158203125,0.8410687446594238,0.2,0.014072835,0.0003,9.304679870605469,-0.6905517932027578,-0.018445070114103145,18.90587538033724
1165,20.206999999999997,597,43.41,696320,340,3390,0.138427734375,0.8394096493721008,0.2,0.015646497,0.0003,4.990508556365967,-0.6317147752270103,-0.01782875444041565,16.848107579350472
1168,19.822,597,43.2,698368,341,3400,0.127392578125,0.8498098850250244,0.2,0.018315557,0.0003,6.364778518676758,-0.7705027084797621,-0.016803274178528227,25.28572723865509
1171,19.589,597,43.21,700416,342,3410,0.131005859375,0.560287594795227,0.2,0.01445603,0.0003,13.925276756286621,-0.6076882346533239,-0.024317363869340625,26.6135212123394
1175,19.104,597,44.63,702464,343,3420,0.163720703125,0.8061019778251648,0.2,0.015897838,0.0003,3.3392345905303955,-0.7014780458062887,-0.01484770945389755,17.219585680961607
1178,19.634999999999998,597,43.75,704512,344,3430,0.143798828125,0.7836129069328308,0.2,0.016236614,0.0003,4.30997896194458,-0.6733172988519073,-0.020039833727787483,17.427471931278706
1181,20.712,597,42.54,706560,345,3440,0.148681640625,0.765537440776825,0.2,0.018071834,0.0003,6.913449287414551,-0.6303087521344424,-0.022503988427342848,23.354624423384667
1184,19.108,598,45.43,708608,346,3450,0.1638671875,0.836470901966095,0.2,0.019926209,0.0003,8.375102996826172,-0.703100067190826,-0.023895993191399612,19.179403023421763
1188,16.695,598,49.67,710656,347,3460,0.1248046875,0.7804528474807739,0.2,0.013026807,0.0003,16.225284576416016,-0.7432889843359589,-0.01569694130157586,28.73540226817131
1191,17.939,598,46.88,712704,348,3470,0.156982421875,0.8693370819091797,0.2,0.017087722,0.0003,9.559989929199219,-0.7929650196805597,-0.016677290642110165,27.786686623096465
1194,19.801,598,43.24,714752,349,3480,0.161572265625,0.7093689441680908,0.2,0.016600853,0.0003,6.212043762207031,-0.6709304371848702,-0.02586580517963739,28.10796658694744
1197,21.688999999999997,598,40.43,716800,350,3490,0.149169921875,0.8617320656776428,0.2,0.017113952,0.0003,7.631572246551514,-0.6109085274860263,-0.020357115802471525,23.392789117991924
1201,21.459,598,40.67,718848,351,3500,0.158935546875,0.7611486315727234,0.2,0.017166719,0.0003,6.778696537017822,-0.6389325657859445,-0.020526220188185108,18.154925997555257
1204,23.354,598,37.25,720896,352,3510,0.172412109375,0.8634339570999146,0.2,0.020376388,0.0003,3.6624181270599365,-0.6279533755965531,-0.023939678426540923,16.62840756177902
1207,21.79,598,40.78,722944,353,3520,0.131494140625,0.6803652048110962,0.2,0.01216637,0.0003,5.1363091468811035,-0.5609218680299819,-0.014858921500854194,11.84611040353775
1211,17.017000000000003,598,49.69,724992,354,3530,0.14189453125,0.8547618389129639,0.2,0.019637581,0.0003,4.41838264465332,-0.7138509226962924,-0.017493647582887205,21.721768787503244
1214,16.948,598,50.15,727040,355,3540,0.179541015625,0.8610059022903442,0.2,0.015944427,0.0003,6.052369594573975,-0.7566416848450899,-0.021133293588354717,18.80941854864359
1217,20.675,598,42.91,729088,356,3550,0.1701171875,0.7931380271911621,0.2,0.017455822,0.0003,5.286571502685547,-0.6922202784568071,-0.018111572312773206,18.00145517140627
1220,19.918999999999997,598,43.66,731136,357,3560,0.153271484375,0.7714430689811707,0.2,0.01567975,0.0003,3.7177317142486572,-0.5906485597603023,-0.020767039783822838,16.25798145979643
1223,19.624,599,43.71,733184,358,3570,0.131591796875,0.8456723690032959,0.2,0.012184545,0.0003,18.8075008392334,-0.8145411975681782,-0.012925003343843855,38.53844926953316
1227,19.974,599,42.46,735232,359,3580,0.1328125,0.6948698163032532,0.2,0.014282572,0.0003,9.15029239654541,-0.5790645910426975,-0.014733972531394102,17.358564300835134
1230,24.589000000000002,599,34.99,737280,360,3590,0.160107421875,0.8326857089996338,0.2,0.015771234,0.0003,17.543792724609375,-0.7055890770629049,-0.019391826576611492,20.715125976502897
1233,24.006999999999998,599,35.85,739328,361,3600,0.10166015625,0.876441240310669,0.2,0.0117475875,0.0003,12.91315746307373,-0.48567781429737805,-0.015360721398610621,19.171108931303024
1237,23.792,599,36.05,741376,362,3610,0.163134765625,0.7717569470405579,0.2,0.017702026,0.0003,3.019357919692993,-0.612792523484677,-0.019184465921716763,9.806729452311993
