time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/explained_variance
352,49.805,185.29,477184,1354,233,-0.019993175806303044,0.015443072,0.13291015625,0.2,19.389576026797293,7220,0.0003,5.780883312225342,-0.611541586369276,0.9567765593528748
352,49.82,186.78,479232,1359,234,-0.014885350273107178,0.015348728,0.1365234375,0.2,17.50501680225134,7230,0.0003,3.6100785732269287,-0.5526037861593067,0.9503369927406311
352,46.253000000000014,192.82,481280,1363,235,-0.012843599208281375,0.015188109,0.134716796875,0.2,18.916741935908796,7240,0.0003,3.0839290618896484,-0.6466149750165642,0.9478598833084106
353,44.902,195.57,483328,1368,236,-0.013410111307166517,0.025127161,0.177294921875,0.2,12.445753298699856,7250,0.0003,3.242182731628418,-0.6872459990903735,0.9558501243591309
353,47.92699999999999,188.98,485376,1373,237,-0.019365367892896758,0.013349833,0.142578125,0.2,17.906776919960976,7260,0.0003,4.686379909515381,-0.596085739415139,0.9521797299385071
353,47.191,190.44,487424,1377,238,-0.009912052447907627,0.009604302,0.078173828125,0.2,16.531492103636264,7270,0.0003,6.321615695953369,-0.36775036780163645,0.9458135366439819
353,47.224,190.37,489472,1382,239,-0.01884274524782086,0.018504832,0.165771484375,0.2,8.893642992526292,7280,0.0003,2.467000961303711,-0.6409155913628638,0.9365488886833191
354,52.88,179.26,491520,1387,240,-0.011561583894945215,0.015723998,0.14462890625,0.2,9.779801781475545,7290,0.0003,2.903167486190796,-0.4939348977059126,0.9459813833236694
354,52.31399999999999,180.6,493568,1392,241,-0.01891109151765704,0.01806458,0.135400390625,0.2,12.122419963777066,7300,0.0003,3.740224599838257,-0.42866825200617314,0.938467800617218
354,53.167,178.24,495616,1396,242,-0.012502555546234362,0.023306036,0.157861328125,0.2,7.220903832837939,7310,0.0003,2.081941843032837,-0.4957733640447259,0.9440977573394775
355,57.90199999999999,168.87,497664,1401,243,-0.01871698298200499,0.021641914,0.165625,0.2,9.074309411644936,7320,0.0003,3.3363521099090576,-0.575016203802079,0.9516851902008057
354,63.239000000000004,161.5,499712,1407,244,-0.016351641200890298,0.01372052,0.1181640625,0.2,10.022004008293152,7330,0.0003,3.7260961532592773,-0.43715649396181105,0.9552886486053467
355,60.437999999999995,167.54,501760,1412,245,-0.009830321875051595,0.012858174,0.11103515625,0.2,12.444162887334823,7340,0.0003,4.061777591705322,-0.4302970572840422,0.9564046263694763
355,65.006,158.47,503808,1417,246,-0.016563382107415238,0.02583581,0.174169921875,0.2,11.063080111891031,7350,0.0003,3.097639560699463,-0.700187845993787,0.9611349105834961
355,61.853,164.31,505856,1422,247,-0.014256614469923079,0.0072329617,0.07509765625,0.2,17.918865846097468,7360,0.0003,8.209976196289062,-0.332303349673748,0.961254894733429
355,60.67100000000001,167.39,507904,1426,248,-0.01527531436586287,0.019669117,0.18486328125,0.2,7.954444370418787,7370,0.0003,2.9236395359039307,-0.6255742580629885,0.9575788974761963
356,65.46699999999998,158.5,509952,1431,249,-0.018578193766006734,0.016586516,0.12646484375,0.2,12.80472577661276,7380,0.0003,1.9953103065490723,-0.5405630189925432,0.9609942436218262
