time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range
477,11.705,55.63,610304,298,1278,-0.8521649839356542,0.0178497,-0.021764627211086917,2970,25.10672308206558,6.839560031890869,0.0003,0.6573587656021118,0.171044921875,0.2
477,11.181000000000001,56.62,612352,299,1283,-0.8069113185629249,0.014854257,-0.019298811731277964,2980,24.915090090036394,12.799406051635742,0.0003,0.7050966024398804,0.16005859375,0.2
477,11.7,55.45,614400,300,1286,-0.9009470973163843,0.018236123,-0.026733617410354783,2990,28.09416934251785,7.851193428039551,0.0003,0.6566034555435181,0.18125,0.2
477,12.657999999999998,54.09,616448,301,1290,-0.8357158424332738,0.014924212,-0.019185775058576836,3000,34.96639264523983,14.786667823791504,0.0003,0.7449342012405396,0.157763671875,0.2
477,10.399000000000001,57.13,618496,302,1294,-0.7705649118870497,0.015776305,-0.020025056472513826,3010,31.78926718533039,8.88618278503418,0.0003,0.6398041248321533,0.14501953125,0.2
478,10.728000000000002,54.34,620544,303,1297,-0.879894288443029,0.019061614,-0.022160957788582892,3020,35.955076444149014,8.464430809020996,0.0003,0.7676194906234741,0.178076171875,0.2
478,11.638000000000002,54.41,622592,304,1301,-0.7727594597265124,0.020982634,-0.012058145673654508,3030,32.36965493261814,8.364564895629883,0.0003,0.5649229288101196,0.149658203125,0.2
478,11.613,56.2,624640,305,1305,-0.8531449919566512,0.01385661,-0.017873649939429016,3040,39.72277256250381,13.296961784362793,0.0003,0.700494647026062,0.152294921875,0.2
478,13.961000000000002,52.71,626688,306,1308,-0.88613988365978,0.017404187,-0.016551362175960094,3050,33.88286381959915,11.831056594848633,0.0003,0.6715217232704163,0.147119140625,0.2
478,15.909,47.47,628736,307,1313,-0.7689029110595584,0.013829315,-0.022843034060497303,3060,38.751117104291914,11.83021068572998,0.0003,0.5414840579032898,0.157275390625,0.2
478,13.998,50.44,630784,308,1317,-0.7241735773161053,0.023022372,-0.02085827947885264,3070,20.136057315766813,7.2560133934021,0.0003,0.41973966360092163,0.18466796875,0.2
478,12.599,53.13,632832,309,1321,-0.8290439363569021,0.021972403,-0.026030588685534893,3080,18.952719230949878,6.816259860992432,0.0003,0.592377245426178,0.216552734375,0.2
478,15.202,48.54,634880,310,1325,-0.810191172733903,0.015209009,-0.019983261880406646,3090,24.77069637477398,5.9118123054504395,0.0003,0.6683108806610107,0.18115234375,0.2
479,18.43,41.3,636928,311,1329,-0.7115778548642993,0.017193949,-0.014772055247158277,3100,20.99985439479351,9.462979316711426,0.0003,0.7373247146606445,0.159814453125,0.2
479,16.927,44.0,638976,312,1333,-0.6767634436488151,0.021984737,-0.021330995799507944,3110,13.925939609110355,3.7309515476226807,0.0003,0.5493203401565552,0.174462890625,0.2
479,18.112000000000002,42.5,641024,313,1336,-0.738707354106009,0.01615164,-0.021983914195152464,3120,16.677831313014032,7.407804489135742,0.0003,0.650127112865448,0.1755859375,0.2
479,15.913000000000004,46.06,643072,314,1340,-0.7678167035803198,0.014399663,-0.013780742957897019,3130,17.51711450368166,6.469621658325195,0.0003,0.6625773906707764,0.1501953125,0.2
480,15.473000000000003,46.94,645120,315,1343,-0.6901503754779696,0.022486657,-0.014746391584048979,3140,15.33123857676983,4.57944917678833,0.0003,0.4442756772041321,0.146337890625,0.2
480,17.366999999999997,44.07,647168,316,1347,-0.8006014723330737,0.031229207,-0.021901421528309584,3150,17.953241634368897,6.543152332305908,0.0003,0.5088097453117371,0.1806640625,0.2
