time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/explained_variance
4488,799.11,91.90899999999999,346,708608,157,1.3972219312563539,0.0003,18130,-0.7612066738307476,0.2,-0.02891017755755456,0.3735591173171997,0.014114661,0.167333984375,0.9997106194496155
4501,799.11,92.071,347,710656,157,1.0246085436083376,0.0003,18140,-0.7773609772324562,0.2,-0.025390491062717048,0.24997764825820923,0.034780957,0.182470703125,0.9997440576553345
4517,799.11,91.83900000000001,348,712704,157,0.8239512116648257,0.0003,18150,-0.7275143520906567,0.2,-0.028600694009219295,0.09919121116399765,0.021589436,0.187890625,0.9997887015342712
4532,799.11,91.77199999999999,349,714752,157,0.9188837354071439,0.0003,18160,-0.7819177052006125,0.2,-0.026939044662867673,0.3192300796508789,0.02466594,0.210888671875,0.9998355507850647
4545,799.11,90.72699999999999,350,716800,157,0.8594092167913914,0.0003,18170,-0.7763345574960112,0.2,-0.026002944532228865,0.2570433020591736,0.02482938,0.1763671875,0.9997926950454712
4560,799.11,90.41399999999997,351,718848,157,0.9181685535237193,0.0003,18180,-0.7887481648474932,0.2,-0.02838736859484925,0.1404843032360077,0.021440363,0.2013671875,0.9998616576194763
4573,799.11,90.60699999999999,352,720896,157,0.7721042149700225,0.0003,18190,-0.808505954965949,0.2,-0.025761589464673308,0.15051151812076569,0.029633224,0.22490234375,0.9998068809509277
4585,799.11,89.609,353,722944,157,1.0723586156498641,0.0003,18200,-0.7855746118351817,0.2,-0.01698683045397047,0.369398832321167,0.017974723,0.18369140625,0.9997962713241577
4598,799.11,89.67299999999999,354,724992,157,0.8782449151389301,0.0003,18210,-0.8550474369898439,0.2,-0.021749764544074422,0.17293734848499298,0.02093507,0.184765625,0.9997062683105469
4611,799.11,89.26100000000001,355,727040,157,0.890366299636662,0.0003,18220,-0.7770310150459409,0.2,-0.02333432982850354,0.12547925114631653,0.022666313,0.200341796875,0.9998330473899841
4625,799.11,88.71700000000001,356,729088,157,0.9108383923768997,0.0003,18230,-0.8471791611984372,0.2,-0.026509135946980678,0.7009350657463074,0.023884904,0.208935546875,0.9998306035995483
4638,799.11,87.74399999999997,357,731136,157,0.7288427365012466,0.0003,18240,-0.7966549871489406,0.2,-0.027002469790750182,0.2513725161552429,0.015998974,0.18359375,0.9998054504394531
4650,799.11,87.62999999999998,358,733184,157,1.044020423758775,0.0003,18250,-0.8340866139158607,0.2,-0.026010146291810088,0.325511634349823,0.021201149,0.20556640625,0.9998724460601807
4661,799.11,86.46600000000001,359,735232,157,0.8486596445553005,0.0003,18260,-0.8405884005129337,0.2,-0.026528596761636436,0.15142670273780823,0.028695935,0.215576171875,0.9997825622558594
4674,799.11,86.19999999999999,360,737280,157,1.1281958436593413,0.0003,18270,-0.7748040322214365,0.2,-0.00954635146772489,0.3934330344200134,0.023432065,0.2072265625,0.9996667504310608
4686,800.0,83.93199999999999,361,739328,157,0.9293205550871789,0.0003,18280,-0.8307268861681223,0.2,-0.025983777605870274,0.5619706511497498,0.028410234,0.2259765625,0.9997881054878235
4705,800.0,83.54699999999997,362,741376,157,1.1302290515974165,0.0003,18290,-0.8433610765263438,0.2,-0.02665780237002764,0.40523552894592285,0.02248172,0.201220703125,0.999769926071167
4719,800.0,83.244,363,743424,157,0.6669633131474256,0.0003,18300,-0.8795050626620651,0.2,-0.02894314405566547,0.12562905251979828,0.026851974,0.219189453125,0.9998520612716675
4734,800.0,82.87899999999999,364,745472,157,1.4983619302511215,0.0003,18310,-0.8014288431033492,0.2,-0.022361534839728848,0.4460061192512512,0.026801702,0.193994140625,0.9995219111442566
4749,800.0,82.06299999999999,365,747520,157,0.8176328849978745,0.0003,18320,-0.8863262891769409,0.2,-0.028925453443662263,0.19200551509857178,0.017635018,0.183056640625,0.9998528361320496
4762,800.0,81.237,366,749568,157,0.7932518275920302,0.0003,18330,-0.8225850597023964,0.2,-0.02882936048990814,0.22198212146759033,0.023422472,0.2115234375,0.9997733235359192
4778,800.0,80.62200000000001,367,751616,157,0.860969050321728,0.0003,18340,-0.8497540386393666,0.2,-0.030001787593937478,0.6498022079467773,0.026735006,0.2296875,0.9998636841773987
4809,800.0,79.356,368,753664,156,0.8695314832963049,0.0003,18350,-0.869058283418417,0.2,-0.02646179626317462,0.26948344707489014,0.022913583,0.175390625,0.999796986579895
4824,800.0,78.21000000000001,369,755712,156,1.1079585438594222,0.0003,18360,-0.8638842396438122,0.2,-0.027047858177684247,0.19450384378433228,0.02338335,0.194287109375,0.9997920393943787
4853,800.0,76.843,370,757760,156,0.5874844043981284,0.0003,18370,-0.8948055423796177,0.2,-0.02471337503666291,0.03731241822242737,0.024219288,0.21982421875,0.9997890591621399
4877,800.0,76.81700000000001,371,759808,155,0.6912003699690104,0.0003,18380,-0.7902918586507439,0.2,-0.02787880459218286,0.08989293873310089,0.022962777,0.213525390625,0.9998853206634521
4892,800.0,76.173,372,761856,155,0.9634097224101424,0.0003,18390,-0.9076406689360738,0.2,-0.029120772321766707,0.2705211341381073,0.019850545,0.202587890625,0.9998422861099243
4920,800.0,75.296,373,763904,155,0.7188913113437593,0.0003,18400,-0.778965994156897,0.2,-0.030005902095581405,0.10037460923194885,0.021319747,0.19814453125,0.9998560547828674
4943,800.0,75.075,374,765952,154,1.0761103394441307,0.0003,18410,-0.8724070817232132,0.2,-0.02215258487558458,0.12259972095489502,0.026848165,0.214013671875,0.9998287558555603
4973,800.0,75.521,375,768000,154,0.6028535222169011,0.0003,18420,-0.8062864108011126,0.2,-0.02916327871498652,0.013350144028663635,0.027130432,0.2251953125,0.9998701810836792
4992,800.0,74.899,376,770048,154,1.272037521470338,0.0003,18430,-0.7907471546903253,0.2,-0.030782259044644888,0.28595975041389465,0.023369044,0.220751953125,0.9997747540473938
5030,800.0,74.71000000000001,377,772096,153,0.8680074721574783,0.0003,18440,-0.8729474918916822,0.2,-0.026915503140480725,0.10965099930763245,0.02025197,0.173193359375,0.9997537136077881
5056,800.0,74.53000000000002,378,774144,153,0.9895467078313231,0.0003,18450,-0.7653821652755142,0.2,-0.02508327400428243,0.37071818113327026,0.025631636,0.210888671875,0.9996963739395142
5079,800.0,73.81400000000001,379,776192,152,1.0488789919763803,0.0003,18460,-0.9006771005690097,0.2,-0.026877844415139407,0.26733481884002686,0.020907417,0.1904296875,0.9998013973236084
